Suburb,Type,SellerG,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Latitude,Longtitude,Price
Melbourne,u,hockingstuart,3000,4,2,1,0,213,1938,-37.8177,144.9544,1850000
Melbourne,u,Greg,3000,3,2,1,0,122,1998,-37.8095,144.9691,750000
Melbourne,u,MICM,3000,2,1,1,0,113,1999,-37.81317,144.95452,740000
Melbourne,u,MICM,3000,1,1,2,0,102,1965,-37.8132,144.9545,680000
Melbourne,u,MICM,3000,2,2,1,0,94,1965,-37.8166,144.9635,733000
Melbourne,u,hockingstuart,3000,2,2,1,0,89,1997,-37.8095,144.9691,760000
Melbourne,u,MICM,3000,2,2,1,1136,88,2009,-37.8211,144.9559,683000
Melbourne,u,Harcourts,3000,2,1,1,0,86,1976,-37.81267,144.96273,720000
Melbourne,u,Galldon,3000,2,2,1,0,85,1997,-37.8095,144.9691,780000
Melbourne,u,MICM,3000,2,1,0,89,85,2003,-37.80802,144.96168,565000
Melbourne,u,HAR,3000,2,1,1,0,84,2001,-37.808,144.9617,535000
Melbourne,u,Purplebricks,3000,2,1,1,0,80,2004,-37.8106,144.9646,665000
Melbourne,u,Dingle,3000,1,1,1,1136,69,2009,-37.8211,144.9559,360000
Melbourne,u,Greg,3000,1,1,1,0,68,2004,-37.8106,144.9646,483000
Melbourne,u,Greg,3000,1,1,1,4051,68,2005,-37.8072,144.9623,520000
Melbourne,u,Greg,3000,2,1,1,0,67,2002,-37.8188,144.9544,545000
Melbourne,u,LITTLE,3000,2,1,0,0,66,1974,-37.8138,144.9548,360000
Melbourne,u,Greg,3000,2,1,1,0,66,2005,-37.8106,144.9646,640000
Melbourne,u,Harcourts,3000,1,1,1,0,65,1920,-37.8168,144.9691,440000
Melbourne,u,Dingle,3000,1,1,0,0,64,1976,-37.8127,144.9627,386000
Melbourne,u,Castran,3000,1,1,1,0,64,1920,-37.8157,144.9727,700000
Melbourne,u,RT,3000,2,1,0,0,60,2006,-37.8084,144.9602,452000
Melbourne,u,Harcourts,3000,1,1,1,0,59,2006,-37.8157,144.9727,659000
Melbourne,u,Dingle,3000,1,1,0,0,57,1960,-37.8178,144.9607,450000
Melbourne,u,MICM,3000,2,1,1,0,55,2014,-37.8091,144.9609,450000
Melbourne,u,Greg,3000,2,1,2,0,55,1917,-37.816,144.9535,470000
Melbourne,u,Whiting,3000,1,1,0,0,52,2000,-37.8199,144.9558,275000
Melbourne,u,LITTLE,3000,1,1,1,0,51,2005,-37.8111,144.9715,432000
Melbourne,u,Galldon,3000,2,1,0,0,47,2011,-37.81301,144.96924,387000
Melbourne,u,LITTLE,3000,1,1,0,1414,47,2014,-37.8161,144.9712,375000
Melbourne,u,Biggin,3000,1,1,0,0,41,2010,-37.8122,144.9582,333000
Ashburton,h,hockingstuart,3147,9,7,4,1472,618,2009,-37.8729,145.0788,2950000
Ashburton,h,Jellis,3147,5,5,2,755,444,2015,-37.8598,145.0796,3510000
Ashburton,h,Marshall,3147,4,3,2,753,399,2015,-37.8669,145.0767,2650000
Ashburton,h,Jellis,3147,6,4,2,1075,390,2010,-37.8714,145.073,2752000
Ashburton,h,Jellis,3147,5,2,2,697,317,2013,-37.87132,145.07267,2850500
Ashburton,t,Fletchers,3147,3,3,4,310,315,2014,-37.874,145.0714,2050000
Ashburton,h,Tim,3147,4,2,2,844,278,1940,-37.8715,145.0688,1950000
Ashburton,h,Jellis,3147,4,2,3,696,274,2000,-37.8711,145.0746,1860000
Ashburton,h,Marshall,3147,5,3,4,700,266,1950,-37.8724,145.0758,1600000
