"","actual","Freq"
"1","Armadale",49
"2","Ashburton",42
"3","Ashwood",34
"4","Carnegie",87
"5","Caulfield",4
"6","Caulfield East",2
"7","Caulfield North",18
"8","Chadstone",27
"9","Clayton",10
"10","Glen Huntly",9
"11","Glen Iris",97
"12","Glen Waverley",40
"13","Huntingdale",2
"14","Malvern",37
"15","Malvern East",82
"16","Melbourne",31
"17","Mount Waverley",39
"18","Murrumbeena",41
"19","Notting Hill",3
"20","Oakleigh",32
"21","Oakleigh East",8
"22","Prahran",69
"23","South Yarra",92
"24","Southbank",22
"25","Toorak",41
"26","Windsor",28
